asin,parent_asin,rating,title,text,timestamp,verified_purchase,helpful_vote
B07RM38S7P,B07RM38S7P,1.0,Too white,Make up is too white. I saw this on facebook and it did not work like i expected. I didn't like it at all.,1581913898623,True,0
B0043QNR2K,B0043QNR2K,4.0,it seems to work:-)!,"OMG! I just received my cologne today I put a few squirts on and went to my local library. It was very crowded. I was using the public access computers & I had several guys and girls actually ask me questions regarding different programs it was kind of strange, although I was working on programs which others didn't know how to use but for some reason I really feel like its really working! I'm quite satisfied. I'm going to review more later, but so far so good:-)",1422399255000,True,3
B01MRVRR0J,B01MRVRR0J,5.0,Wonderful light sheen oil spray,Loved this light oil spray!  Keeps my relaxed and colored hair soft and shiny!,1567777249743,True,0
B081YVWB15,B081YVWB15,2.0,Only received 7 bundles.,Item advertised 8 bundles for the color i purchased. I only received 7.,1646962014769,True,0
B073PW61JL,B073PW61JL,4.0,Your hair needs to be more one color for it to work,It's a beautiful color but doesn't really match my hair. If your hair is totaled white this one is for you,1565320577865,True,0
B01EIOH90C,B01EIOH90C,5.0,Gorgeous,I opened the package and was so excited to try it on and ladies.... it’s looks like more than what it costs.  This one does not disappoint.,1575434336189,True,0
B0828V3LH2,B0828V3LH2,1.0,I got 5 days out of it,"Not impressed for the money. The color and ease of use is great, but to get 5 days out of $13 product, no thanks. The $5 Elf brow kit is far superior.",1583263016543,True,0
B081XZ42Z7,B081XZ42Z7,5.0,Perfect little combo of hair ties!,"Oh, hey 90s! Legitimately cannot believe these are making a comeback. My daughter was wanting some and I couldn’t believe it. This little combo set of both scrunchies and hair ties were perfect!",1581166095250,True,1
B00161JKGW,B00161JKGW,4.0,So far so good,"Its winter right now and i bought this in the shade M1. The color on my face in this season is just a slightly and i mean slightly, darker than my actual skin color but i know when summer rolls around and i get my beach tan on it'll look fine. & i'd still wear it in winter bc i think i'm prob the only one really noticing the slight shade diff...hopefully. But other than that, so far ive only tried it once but it covered well and gave a pretty natural look...for someone who never wears foundation  (i bought it bc i'm sick of having such a shiny face in photos when i go out). And the best part of it was that i put it on at night just testing it out and was lazy and left it on when i went to bed and when i woke the next day and washed my face like i do every morning, my face felt sooo nice and silky smooth and soft and as of right now im sold. I live in VA and summers get SUPER humid so we'll see in the summer if it can withstand the heat and not melt when i go out at night but so far its great and i would recommend it.",1296439611000,True,1
B09JNH41FV,B09JNH41FV,1.0,Does not work well at all.,"It doesn’t heat up. It doesn’t work well at all.  You can’t adjust the temperature, it’s just an on and off switch.  Not worth the purchase at all.  Very disappointed.",1641992224401,True,0
B00NF8GDP0,B00NF8GDP0,2.0,PINCH. Not long enough.,They are not as long as the original insert. They don’t go all the way across so they PINCH!!,1606347253283,True,0
B082XHP1FH,B082XHP1FH,5.0,A Mixed Ba?,"I was surprised to see so many bad reviews. These were easy for me to install. I got a good, clean cut. After using old and dull blades, these were so much better. I wish it came with a cleaner brush, but after digging around in drawers in the bathroom, one was found.",1635063733064,True,0
B088THRZMP,B088THRZMP,5.0,useful spray bottles,"These little bottles have been very useful to make my own fragrance mixes for the bathroom. So far so good, the bottles spray a fine mist very well, suits my purposes.",1603919254979,True,0
B00HC6LR2A,B00HC6LR2A,5.0,Love it! And get many compliments besides.,Love my beret. I could never wear a hat to work because my hair would be a mess when I removed it. Not a problem anymore.,1418949072000,True,0
B08JD6VZK4,B08JD6VZK4,5.0,These are a lifesaver!,"These have been great to throw all over and have them when we need them! I carry one in my work bag, have them in the car, scattered about the house- always have sanitizer when I need it. Not a germaphobe but germs are there so use it when I need it, especially these days!<br /><br />Works great and no crazy scent. Smells like alcohol but quickly fades.",1622214276423,False,0
B01G1K2YPG,B01G1K2YPG,5.0,we'll probably get a few more,"Totally fabulous wig I'm wearing it for the third time. Men love it, women love it  boyfriend love love it!!!",1572654005236,True,0
B01MFC2Q8C,B01MFC2Q8C,3.0,Packaging dissapointed,I like to use this powder But i didn’t feel this product arrive brand new. I might wrong but it was opened already before i use it.,1569745075234,True,2
B086BL8FZ5,B086BL8FZ5,1.0,Used,The bottle arrived open and you could tell product was not new for the price disappointed,1598066873211,True,0
B08JZG5WN6,B08JZG5WN6,5.0,Great Product,"These bottles are perfect for storing products that are a part of your beauty, hair regiment as well as other health and beauty endeavors you may try. I'm completely satisfied with my purchase.",1614024470576,True,0
